id_imovel,bairro,tipo,area_util,quartos,suites,banheiros,vagas,andar,idade_imovel,varanda,piscina,academia,portaria_24h,vista_mar,condominio,iptu,lat,lon,preco_venda
1,Madureira,Apartamento,113.7,2,1,3,1,14,2,1,0,0,1,0,592.09,406.46,-22.846067,-43.338439,482118.15
2,Recreio,Apartamento,66.8,1,0,3,1,25,51,0,0,0,1,1,1108.42,481.48,-23.029481,-43.470641,554984.33
3,Santa Teresa,Studio/Loft,47.5,1,0,2,1,2,1,0,0,1,0,0,812.26,415.93,-22.927568,-43.196736,371705.47
4,Engenho Novo,Apartamento,46.9,2,1,2,0,13,26,1,0,0,1,0,308.76,214.96,-22.920818,-43.28042,250727.66
5,Copacabana,Apartamento,86.5,3,1,5,2,18,4,0,0,0,1,0,1697.04,1170.25,-22.97424,-43.19931,1583346.2
6,Campo Grande,Apartamento,88.8,3,2,4,1,13,1,0,1,0,1,0,440.68,128.81,-22.929328,-43.557131,451010.52
7,Ramos,Casa,248.3,5,3,5,0,0,10,0,0,0,1,0,534.64,1498.97,-22.847953,-43.259687,1267522.97
8,Madureira,Studio/Loft,29.4,0,0,2,1,2,6,1,0,1,0,0,410.65,55.96,-22.877616,-43.33705,146377.16
9,Copacabana,Apartamento,41.0,2,0,3,0,1,2,0,0,0,0,0,2705.04,734.09,-22.968582,-43.187211,507793.6
10,Recreio,Apartamento,96.4,3,0,3,0,27,10,1,0,1,0,1,1015.62,791.73,-23.004801,-43.46937,1167348.0
11,Barra da Tijuca,Studio/Loft,43.3,2,0,3,0,28,16,1,0,1,0,0,1488.07,199.52,-23.004587,-43.368796,415190.39
12,Niteroi,Apartamento,134.7,3,2,3,3,22,22,1,1,1,0,0,411.78,928.18,-22.879898,-43.103318,1342009.83
13,Sao Cristovao,Flat,50.3,2,0,2,0,30,4,1,1,1,0,0,740.24,249.14,-22.906444,-43.224722,285128.47
14,Centro,Apartamento,122.7,3,0,4,1,28,17,0,0,0,1,0,888.47,1020.2,-22.900175,-43.161997,775485.55
15,Recreio,Apartamento,109.3,2,1,2,2,7,25,1,1,0,0,1,1092.13,809.49,-23.01584,-43.468774,1251031.14
16,Flamengo,Flat,76.5,3,0,3,1,17,3,1,1,0,1,0,1344.92,787.53,-22.94426,-43.169997,1187960.0
17,Tijuca,Casa,195.1,3,2,4,1,0,15,1,0,0,0,0,883.81,1260.6,-22.911352,-43.231648,1539031.05
18,Ipanema,Apartamento,45.1,1,0,3,1,15,1,1,0,0,1,1,1973.66,582.79,-22.984679,-43.209783,1133510.77
19,Centro,Apartamento,87.6,3,0,4,0,28,10,1,0,0,0,0,1071.87,505.66,-22.908166,-43.167933,633747.75
20,Sao Cristovao,Apartamento,93.2,2,1,2,0,18,1,1,0,1,1,0,823.14,463.66,-22.893603,-43.222402,612111.38
21,Ramos,Cobertura,263.7,4,2,6,1,4,13,1,1,1,1,0,628.52,1249.05,-22.847575,-43.268709,1442429.68
22,Barra da Tijuca,Apartamento,48.8,2,0,2,1,17,21,1,0,0,0,0,722.88,343.44,-23.008681,-43.359977,522337.08
23,Campo Grande,Apartamento,79.4,3,2,3,0,16,2,1,0,0,0,0,468.76,154.82,-22.894774,-43.551628,347543.11
24,Lapa,Apartamento,127.4,4,3,5,0,15,28,1,0,0,0,1,1131.58,800.29,-22.911891,-43.176271,1473476.93
25,Madureira,Apartamento,86.3,3,2,3,0,11,1,1,0,1,1,1,540.73,258.22,-22.87297,-43.346637,510855.98
26,Botafogo,Studio/Loft,35.2,1,0,3,1,19,47,1,1,1,0,0,1445.23,454.98,-22.953486,-43.182847,361487.13
27,Recreio,Apartamento,192.9,3,2,5,2,12,8,0,0,0,1,1,938.15,1458.09,-23.01681,-43.47736,2260438.18
